verh;f_p;begin_slice;end_slice; p_n;   p_n+k;    m(S);    e(S);  #(S<F);    f(S);f(S)-3m(S);   stable;    u(S); fne(S);   sum(A)
1.1358616293;16.00172757748;5002;5611;48623;55229;48623;611;368008;778052;632183;         ;55229;778052;21119691788
1.1361495589;16.00172757748;5002;5612;48623;55243;48623;612;368650;778052;632183;         ;55243;778052;21088475822
1.1362729572;16.00172757748;5002;5613;48623;55249;48623;613;369013;778052;632183;         ;55249;778052;21070825673
1.1364786212;16.00172757748;5002;5614;48623;55259;48623;614;369474;778052;632183;         ;55259;778052;21048410470
1.1371367460;16.00172757748;5002;5615;48623;55291;48623;615;370794;778052;632183;         ;55291;778052;20984228110
1.1375892068;16.00172757748;5002;5616;48623;55313;48623;616;371958;778052;632183;         ;55313;778052;20927630938
1.1379594019;16.00172757748;5002;5617;48623;55331;48623;617;372895;778052;632183;         ;55331;778052;20882071187
1.1380005347;16.00172757748;5002;5618;48623;55333;48623;618;373387;778052;632183;         ;55333;778052;20858148671
1.1380828003;16.00172757748;5002;5619;48623;55337;48623;619;373660;778052;632183;         ;55337;778052;20844874592
1.1381239331;16.00172757748;5002;5620;48623;55339;48623;620;373797;778052;632183;         ;55339;778052;20838213241
1.1382061987;16.00172757748;5002;5621;48623;55343;48623;621;374005;778052;632183;         ;55343;778052;20828099657
1.1383707299;16.00172757748;5002;5622;48623;55351;48623;622;374392;778052;632183;         ;55351;778052;20809282556
1.1388231907;16.00172757748;5002;5623;48623;55373;48623;623;375346;778052;632183;         ;55373;778052;20762896214
1.1389877219;16.00172757748;5002;5624;48623;55381;48623;624;375829;778052;632183;         ;55381;778052;20739411305
1.1393579170;16.00172757748;5002;5625;48623;55399;48623;625;376645;778052;632183;         ;55399;778052;20699734937
1.1396047138;16.00172757748;5002;5626;48623;55411;48623;626;377253;778052;632183;         ;55411;778052;20670172153
1.1401805730;16.00172757748;5002;5627;48623;55439;48623;627;378516;778052;632183;         ;55439;778052;20608761304
1.1402217058;16.00172757748;5002;5628;48623;55441;48623;628;378987;778052;632183;         ;55441;778052;20585859871
1.1405507682;16.00172757748;5002;5629;48623;55457;48623;629;379690;778052;632183;         ;55457;778052;20551677902
1.1407975649;16.00172757748;5002;5630;48623;55469;48623;630;380308;778052;632183;         ;55469;778052;20521628888
1.1411677601;16.00172757748;5002;5631;48623;55487;48623;631;381089;778052;632183;         ;55487;778052;20483654325
1.1414556897;16.00172757748;5002;5632;48623;55501;48623;632;381888;778052;632183;         ;55501;778052;20444804548
1.1416613537;16.00172757748;5002;5633;48623;55511;48623;633;382535;778052;632183;         ;55511;778052;20413345467
1.1420315489;16.00172757748;5002;5634;48623;55529;48623;634;383288;778052;632183;         ;55529;778052;20376732348
1.1422783456;16.00172757748;5002;5635;48623;55541;48623;635;383970;778052;632183;         ;55541;778052;20343571462
1.1424017440;16.00172757748;5002;5636;48623;55547;48623;636;384328;778052;632183;         ;55547;778052;20326164428
1.1430598688;16.00172757748;5002;5637;48623;55579;48623;637;385778;778052;632183;         ;55579;778052;20255661078
1.1432655328;15.00172757748;5002;5638;48623;55589;48623;638;337745;729429;583560;         ;55589;680806;20226973508
1.1435534624;15.00172757748;5002;5639;48623;55603;48623;639;338391;729429;583560;         ;55603;680806;20195563050
1.1436768607;15.00172757748;5002;5640;48623;55609;48623;640;338841;729429;583560;         ;55609;680806;20173682700
1.1438825247;15.00172757748;5002;5641;48623;55619;48623;641;339249;729429;583560;         ;55619;680806;20153844516
1.1439236575;15.00172757748;5002;5642;48623;55621;48623;642;339511;729429;583560;         ;55621;680806;20141105290
1.1441293215;15.00172757748;5002;5643;48623;55631;48623;643;339878;729429;583560;         ;55631;680806;20123260649
1.1441704543;15.00172757748;5002;5644;48623;55633;48623;644;340063;729429;583560;         ;55633;680806;20114265394
1.1442938527;15.00172757748;5002;5645;48623;55639;48623;645;340311;729429;583560;         ;55639;680806;20102206890
1.1447463135;15.00172757748;5002;5646;48623;55661;48623;646;341103;729429;583560;         ;55661;680806;20063697474
